comments,date_created,days_posted,likes,slide_id,total_images,total_slides,tweets,url,views
6,2014-10-01,682,200,39763477,92,58,40,http://www.slideshare.net/HubSpot/how-to-create-a-facebook-business-page-in-5-simple-steps,1235510
2,2014-04-29,837,94,34082643,53,23,57,http://www.slideshare.net/schlaf/on-demand-everything,22020
0,2014-08-28,716,7,38475321,52,24,0,http://www.slideshare.net/pearlreanettedalisay/pearl-38475321,9599
5,2011-08-08,1832,42,8798588,54,21,1,http://www.slideshare.net/komalsuryavanshi/leadership-qualities-8798588,44132
0,2013-02-13,1277,5,16502030,42,14,0,http://www.slideshare.net/BaabtraMentoringPartner/system-software-and-application-software,10397
0,2015-03-04,528,17,45437571,51,23,12,http://www.slideshare.net/sparksandhoney/hon3y-emotional-research-platform-beta,7054
0,2014-01-20,936,4,30239821,55,28,0,http://www.slideshare.net/drahmadflash/prevention-control-of-occupational-diseases,4053
7,2012-05-31,1535,103,13156885,74,41,1,http://www.slideshare.net/10041976/personal-hygiene-13156885,74577
4,2010-11-10,2103,24,5723147,62,30,0,http://www.slideshare.net/bright9977/strategies-of-zhuge-liang-the-greastest-strategist-of-all-times,10308
0,2009-11-07,2471,0,2443344,47,24,0,http://www.slideshare.net/guest1a8d587/geology-presentation-2443344,6045
13,2012-09-05,1438,56,14177663,66,33,0,http://www.slideshare.net/chanvich/11-strategic-planning-in-retail,26064
32,2013-05-31,1170,150,22241930,48,15,11,http://www.slideshare.net/MarrajuBollapRagada/agile-vs-iterativevswaterfall,83481
2,2014-02-17,908,18,31286715,45,15,0,http://www.slideshare.net/naveenjayan/herbal-power-point-presentation,24627
51,2015-04-15,486,2063,47019344,104,71,401,http://www.slideshare.net/GetSmarter/11-ways-to-be-seen-as-a-leader-at-work-even-if-its-not-in-your-title,214022
6,2010-08-26,2179,76,5063250,103,70,284,http://www.slideshare.net/uqudent/how-to-write-a-good-cv,28968
0,2016-06-23,51,0,63382836,52,29,0,http://www.slideshare.net/smallbiztrends/2016-small-business-book-awards-winners,8124
18,2009-11-14,2464,28,2502667,109,76,3,http://www.slideshare.net/tinainvirginia/75-free-sites-for-real-estate-agents,31240
8,2014-10-19,664,906,40461901,80,47,140,http://www.slideshare.net/sjoman/breaking-branding,43158
16,2015-11-14,273,222,55108375,67,34,26,http://www.slideshare.net/ssuser63877e/pray-for-parispray-for-france,21157
12,2010-12-03,2080,51,6025706,51,18,0,http://www.slideshare.net/ArnelLPU/methods-of-presenting-art,75096
0,2015-03-31,501,16,46512835,46,18,5,http://www.slideshare.net/mjft01/the-astonishing-resurrection-of-ai-a-primer-on-artificial-intelligence,30578
3,2016-02-10,185,268,58091162,51,20,22,http://www.slideshare.net/duvalunionconsulting/case-study-mastering-digital-disruption-in-retail,21922
1,2014-09-11,702,272,38987077,141,112,108,http://www.slideshare.net/ericacampbell/2015-social-media-trends,90060
0,2015-04-07,494,13,46718474,74,46,1,http://www.slideshare.net/insivia/google-analytics-101-2015,6009
2,2016-02-05,190,5,57930116,50,20,2,http://www.slideshare.net/norwiz/the-death-of-the-b2b-sales-rep-10,2615
12,2013-12-29,958,427,29563333,60,26,866,http://www.slideshare.net/HubSpot/8-places-youre-guaranteed-to-find-great-content-to-tweet,178484
0,2013-07-01,1139,4,23723488,42,15,0,http://www.slideshare.net/luckysan1981/manual-testing-ppt,12656
3,2015-11-02,285,255,54656049,72,41,59,http://www.slideshare.net/bingads/higher-education-insights-for-digital-marketers,28575
1,2014-06-18,787,10,36014530,57,28,0,http://www.slideshare.net/LeanUK/toyota-management-system-by-takashi-tanaka-and-sharon-tanner,5516
26,2012-11-10,1372,206,15120471,87,54,77,http://www.slideshare.net/publicspeakingcoachasia/10-sexy-presentation-slides-tips-on-how-you-can-design-awesome-presentation-slides,131493
14,2016-01-23,203,587,57413773,98,65,52,http://www.slideshare.net/langwitches/preparing-for-the-future-of-education-take-a-look-around-you,54957
0,2009-11-20,2458,113,2547538,90,62,8,http://www.slideshare.net/lipmanhearne/developing-a-brand-strategy,92163
1,2013-06-03,1167,7,22409658,43,14,1,http://www.slideshare.net/appinions/executive-influence-transforming-your-top-team-into-powerful-influencers-ebook,15659
5,2010-08-12,2193,153,4953815,60,27,16,http://www.slideshare.net/ashmaurya/running-lean-canvas,36712
0,2015-03-22,510,7,46133138,41,13,0,http://www.slideshare.net/ankitdon5/bs-presentation-46133138,2834
0,2016-03-21,145,17,59804965,139,111,23,http://www.slideshare.net/MarTechConf/building-your-ultimate-marketing-stack-by-travis-wright,4870
3,2014-11-21,631,269,41864702,60,29,0,http://www.slideshare.net/rahiljain313/new-microsoft-office-power-point-presentation-41864702,65907
5,2010-01-05,2412,67,2836493,114,81,23,http://www.slideshare.net/siamenglish/johnny-bunko,34944
0,2014-05-28,808,2,35224325,57,32,0,http://www.slideshare.net/kathykavan/the-next-web-2014-35224325,2499
0,2012-10-15,1398,0,14729260,40,17,0,http://www.slideshare.net/MCHLSLBR/humor-of-incongruity-101512,4254
0,2016-08-02,11,0,64627101,29,6,0,http://www.slideshare.net/shishirnew/assetz-lifestyle-63-degree-east-sarjanpur-road-bangalore,11
0,2014-01-30,926,33,30618977,107,79,0,http://www.slideshare.net/akashsolanki/rolling-of-metals-in-manufacturing-process,20657
4,2012-12-03,1349,61,15462650,103,71,1,http://www.slideshare.net/NurzPogz/the-scope-of-humanities,44053
2,2013-09-18,1060,56,26320317,48,18,6,http://www.slideshare.net/publicspeakingcoachasia/4-great-public-speaking-tips-effective-presentation-skills-training,21012
3,2014-05-05,831,62,34279066,98,67,79,http://www.slideshare.net/UXTrendspotting/sports2-0-the-changing-face-of-sports-the-sporting-experience,12613
6,2009-05-29,2633,31,1508707,72,39,2,http://www.slideshare.net/blpgirl/introduction-to-software-engineering-1508707,34763
38,2015-04-19,482,841,47177409,56,23,171,http://www.slideshare.net/bbdavenport/20-ways-to-stoke-your-selfconfidence,440564
5,2016-03-01,165,162,58887622,80,47,20,http://www.slideshare.net/davidleeking/social-media-best-practices-part-1,41839
0,2012-09-27,1416,1,14479551,39,15,0,http://www.slideshare.net/VeerajVashishtha/the-extended-self,10124
1,2015-03-24,508,11,46203689,51,22,0,http://www.slideshare.net/prashantmehta371/challenges-in-indian-healthcare-sector,11294
7,2015-12-04,253,116,55831883,191,158,83,http://www.slideshare.net/haxlr8r/state-of-robotics-2015,73549
0,2015-04-25,476,22,47398494,275,247,0,http://www.slideshare.net/friendsrtg/vehicle-body-engineering-introduction,7272
11,2014-10-14,669,570,40270288,62,28,69,http://www.slideshare.net/ethos3/21-40270288,69204
5,2013-06-20,1150,55,23249103,113,80,5,http://www.slideshare.net/inforacer/impdata-gover,34425
0,2015-08-06,373,1,51366745,44,20,0,http://www.slideshare.net/ksumatarted/welcome-to-art-elementary,9072
0,2015-03-24,508,0,46217547,40,17,0,http://www.slideshare.net/maliajonhs/top-10-human-resource-specialist-interview-questions-and-answers,3741
2,2013-05-17,1184,92,21351431,164,133,73,http://www.slideshare.net/HubSpot/state-ofinbound-v31,55452
1,2013-10-24,1024,85,27542114,110,81,10,http://www.slideshare.net/alexcowan/venture-design-workshopbusinessmodelcanvas,385882
5,2013-03-05,1257,4,16946259,44,12,0,http://www.slideshare.net/onlinestudyalerts/human-resource-accounting-1,12870
